DAY;VAPOURPRESSURE;PRECIPITATION
20231027;11.55;4
20231028;11.35;4
20231029;11.4;1
20231030;11.6;5
20231031;11.15;3
20231101;11.5;4
20231102;9.45;2
20231103;8.45;0
20231104;9.5;4
20231105;10.2;3
20231106;9.4;1
20231107;9.3;3
20231108;9.15;11
20231109;10.0;7
20231110;8.51;9
20231111;8.25;0
20231112;8.55;2
20231113;11.25;7
20231114;10.6;8
20231115;10.1;1
20231116;9.0;6
20231117;8.8;0
20231118;9.6;7
20231119;11.5;2
20231120;10.75;9
20231121;10.3;2
20231122;7.55;0
20231123;9.9;1
20231124;8.2;5
20231125;7.15;4
20231126;7.5;4
20231127;7.35;11
20231128;5.85;0
20231129;6.2;3
20231130;6.8;0
20231201;5.0;0
20231202;4.3;0
20231203;4.7;1
20231204;5.6;9
20231205;8.45;3
20231206;7.25;0
20231207;6.1;1
20231208;8.05;1
20231209;9.25;8
20231210;9.05;3
20231211;9.41;0
20231212;10.1;4
20231213;9.75;5
20231214;8.75;1
20231215;8.6;0
20231216;8.0;0
20231217;8.05;0
20231218;6.55;0
20231219;8.05;11
20231220;8.65;2
20231221;10.05;5
20231222;8.9;4
20231223;9.35;0
20231224;10.75;7
20231225;11.4;5
20231226;9.2;1
20231227;8.7;0
20231228;9.15;0
20231229;9.5;5
20231230;9.0;0
20231231;8.2;3
20240101;7.75;10
20240102;10.5;22
20240103;9.5;7
20240104;9.25;3
20240105;8.2;4
20240106;7.55;2
20240107;5.45;0
20240108;3.7;0
20240109;2.85;0
20240110;3.0;0
20240111;3.6;0
20240112;5.65;0
20240113;5.45;0
20240114;5.2;1
20240115;5.3;1
20240116;4.25;0
20240117;4.25;9
20240118;4.6;1
20240119;5.1;0
20240120;4.25;0
20240121;5.15;1
20240122;9.2;2
20240123;8.65;2
20240124;10.05;0
20240125;9.7;1
20240126;9.0;2
20240127;5.55;0
20240128;5.45;0
20240129;7.7;0
20240130;8.7;0
20240131;7.5;3
20240201;8.15;0
20240202;7.6;0
20240203;10.6;0
20240204;10.9;2
20240205;9.25;0
20240206;9.25;4
20240207;9.25;23
20240208;9.4;13
20240209;10.5;2
20240210;10.5;4
20240211;9.5;2
20240212;8.3;1
20240213;7.4;0
20240214;11.0;4
20240215;10.8;0
20240216;10.51;1
20240217;8.81;0
20240218;9.11;5
20240219;10.05;2
20240220;8.51;0
20240221;9.15;11
20240222;10.25;9
20240223;6.8;1
20240224;6.8;1
20240225;7.55;4
20240226;7.95;4
20240227;7.01;0
20240228;6.81;0
20240229;9.29;2
20240301;8.25;3
20240302;7.95;1
20240303;8.8;0
20240304;7.15;0
20240305;7.45;1
20240306;7.2;0
20240307;7.0;0
20240308;6.05;0
20240309;7.1;0
20240310;8.3;2
20240311;9.4;14
20240312;9.5;11
20240313;10.95;0
20240314;9.7;0
20240315;11.0;10
20240316;9.15;1
20240317;9.3;2
20240318;11.05;0
20240319;10.05;0
20240320;10.2;0
20240321;10.3;0
20240322;10.5;8
20240323;7.7;2
20240324;7.05;2
20240325;6.8;0
20240326;7.55;0
20240327;8.2;1
20240328;7.15;3
20240329;8.8;3
20240330;9.75;1
20240331;9.7;1
20240401;9.1;0
20240402;9.1;1
20240403;10.11;5
20240404;11.1;20
20240405;12.65;2
20240406;11.55;2
20240407;11.65;3
20240408;12.6;9
20240409;9.8;1
20240410;7.65;0
20240411;9.95;0
20240412;13.25;0
20240413;13.1;0
20240414;9.95;1
20240415;7.95;7
20240416;7.95;6
20240417;7.4;3
20240418;7.15;1
20240419;8.2;5
20240420;7.15;1
20240421;6.7;1
20240422;6.4;1
20240423;5.95;1
20240424;7.4;3
20240425;6.55;0
20240426;7.95;0
20240427;9.7;1
20240428;9.7;2
20240429;9.8;0
20240430;12.15;6
20240501;14.6;1
20240502;13.55;7
20240503;10.15;3
20240504;10.15;5
20240505;11.3;0
20240506;12.75;5
20240507;12.24;0
20240508;11.14;0
20240509;11.4;0
20240510;12.27;0
20240511;13.04;0
20240512;13.8;1
20240513;15.17;0
20240514;14.37;4
20240515;14.37;5
20240516;14.44;6
20240517;13.6;17
20240518;13.67;6
20240519;13.67;1
20240520;14.14;1
20240521;15.04;7
20240522;13.57;0
20240523;12.8;0
20240524;13.5;7
20240525;12.9;0
20240526;13.47;5
20240527;12.37;1
20240528;12.54;5
20240529;14.67;11
20240530;12.84;3
20240531;13.57;6
20240601;14.37;2
20240602;12.57;0
20240603;11.2;0
20240604;13.17;1
20240605;12.04;0
20240606;10.04;0
20240607;10.6;0
20240608;10.97;0
20240609;10.7;0
20240610;10.67;6
20240611;9.9;1
20240612;9.77;0
20240613;10.57;0
20240614;13.77;9
20240615;12.57;1
20240616;13.5;4
20240617;14.8;2
20240618;16.57;23
20240619;15.24;0
20240620;14.64;4
20240621;15.44;16
20240622;14.24;1
20240623;14.54;0
20240624;15.64;0
20240625;16.77;0
20240626;18.34;0
20240627;18.44;0
20240628;13.37;0
20240629;14.54;22
20240630;16.54;3
20240701;14.6;1
20240702;14.04;1
20240703;12.97;4
20240704;13.7;0
20240705;13.64;0
20240706;13.37;0
20240707;11.17;0
20240708;13.14;0
20240709;16.47;9
20240710;19.0;0
20240711;14.6;3
20240712;14.37;13
20240713;12.84;0
20240714;13.74;0
20240715;15.44;10
20240716;16.17;4
20240717;16.1;0
20240718;16.64;1
20240719;18.14;0
20240720;19.84;1
20240721;19.74;0
20240722;16.3;0
20240723;17.2;1
20240724;14.94;0
20240725;15.54;6
20240726;18.14;2
20240727;16.47;1
20240728;13.8;0
20240729;15.04;0
20240730;17.57;1
20240731;20.7;4
20240801;21.7;8
20240802;20.44;2
20240803;18.07;2
20240804;17.7;0
20240805;16.0;0
20240806;17.27;0
20240807;16.47;4
20240808;14.84;0
20240809;17.24;0
20240810;15.67;0
20240811;17.17;0
20240812;20.5;0
20240813;22.6;7
20240814;17.74;1
20240815;17.2;0
20240816;17.8;3
20240817;20.27;3
20240818;16.94;0
20240819;13.6;0
20240820;15.54;2
20240821;13.24;0
20240822;13.17;0
20240823;16.44;5
20240824;18.87;4
20240825;13.24;0
20240826;12.77;0
20240827;13.54;0
20240828;16.4;0
20240829;17.2;0
20240830;16.2;6
20240831;17.2;0
20240901;19.84;0
20240902;19.57;0
20240903;18.84;2
20240904;17.27;1
20240905;18.37;6
20240906;17.67;3
20240907;17.64;21
20240908;15.97;4
20240909;15.84;9
20240910;14.24;9
20240911;11.37;4
20240912;9.57;2
20240913;10.17;1
20240914;9.94;0
20240915;10.7;0
20240916;13.5;2
20240917;14.17;1
20240918;15.64;0
20240919;15.67;0
20240920;15.04;0
20240921;14.67;0
20240922;15.8;0
20240923;15.07;0
20240924;14.44;4
20240925;14.47;11
20240926;15.1;2
20240927;11.47;3
20240928;10.3;1
20240929;8.97;0
20240930;12.3;3
20241001;12.17;1
20241002;11.77;0
20241003;10.9;0
20241004;9.74;0
20241005;9.2;0
20241006;10.67;0
20241007;15.1;5
20241008;14.97;0
20241009;13.8;42
20241010;12.6;4
20241011;9.5;0
20241012;9.94;2
20241013;9.6;0
20241014;9.7;2
20241015;12.84;0
20241016;15.17;1
20241017;16.67;3
20241018;16.17;3
20241019;14.1;1
20241020;14.44;1
20241021;14.6;6
20241022;11.87;0
20241023;10.9;0
20241024;10.67;0
20241025;14.04;0
20241026;14.2;0
20241027;14.37;1
20241028;13.5;0
20241029;12.87;1
20241030;13.4;0
20241031;12.2;0
20241101;11.37;0
20241102;11.67;0
20241103;10.27;0
20241104;8.34;0
20241105;8.7;0
20241106;10.64;0
20241107;9.84;0
20241108;8.37;0
20241109;9.8;0
20241110;10.97;0
20241111;10.1;3
20241112;9.8;0
20241113;8.8;0
20241114;10.44;1
20241115;9.24;0
20241116;7.8;1
20241117;8.94;4
20241118;9.3;10
20241119;10.07;15
20241120;6.8;2
20241121;5.5;0
20241122;5.9;4
20241123;7.3;3
20241124;11.8;0
20241125;12.2;7
20241126;9.9;3
20241127;10.0;1
20241128;8.2;0
20241129;6.4;0
20241130;6.9;0
20241201;7.3;0
20241202;11.0;6
20241203;8.5;0
20241204;7.0;0
20241205;8.8;10
20241206;8.5;2
20241207;8.94;12
20241208;8.9;3
20241209;7.57;1
20241210;7.54;0
20241211;7.0;0
20241212;6.17;0
20241213;5.67;0
20241214;6.4;1
20241215;8.57;0
20241216;11.0;1
20241217;9.5;0
20241218;10.5;5
20241219;10.17;7
20241220;7.14;1
20241221;9.37;3
20241222;7.7;9
20241223;7.7;2
20241224;7.74;1
20241225;9.7;0
20241226;8.4;0
20241227;6.24;0
20241228;5.74;0
20241229;6.0;0
20241230;6.94;0
20241231;6.27;0
